GeneID,GSM7461691,GSM7461692,GSM7461693,GSM7461694,GSM7461695,GSM7461696,GSM7461697,GSM7461698,GSM7461699,GSM7461700,GSM7461702,GSM7461703,GSM7461705,GSM7461706,GSM7461707,GSM7461708,GSM7461709,GSM7461710,GSM7461711,GSM7461712,GSM7461713,GSM7461714,GSM7461715,GSM7461717,GSM7461718,GSM7461720,GSM7461721,GSM7461722,GSM7461723,GSM7461724,GSM7461726,GSM7461727,GSM7461728,GSM7461729,GSM7461730,GSM7461731,GSM7461732,GSM7461733,GSM7461734,GSM7461735,GSM7461736,GSM7461737,GSM7461738,GSM7461739,GSM7461740,GSM7461741,GSM7461743,GSM7461744,GSM7461745,GSM7461746,GSM7461747,GSM7461748,GSM7461749,GSM7461750,GSM7461751,GSM7461752,GSM7461753,GSM7461754,GSM7461755,GSM7461756,GSM7461759,GSM7461760,GSM7461761,GSM7461762,GSM7461764,GSM7461765,GSM7461766,GSM7461767,GSM7461768,GSM7461769,GSM7461770,GSM7461771,GSM7461772,GSM7461774,GSM7461775,GSM7461776,GSM7461777,GSM7461778,GSM7461779,GSM7461780,GSM7461781,GSM7461782,GSM7461783,GSM7461784,GSM7461785,GSM7461786,GSM7461787,GSM7461789,GSM7461790,GSM7461791,GSM7461792,GSM7461793,GSM7461794,GSM7461795,GSM7461796,GSM7461797,GSM7461798,GSM7461799,GSM7461800,GSM7461801,GSM7461802,GSM7461803,GSM7461804,GSM7461805,GSM7461806,GSM7461807,GSM7461808,GSM7461809,GSM7461811,GSM7461812,GSM7461813,GSM7461814,GSM7461815,GSM7461816,GSM7461817,GSM7461818,GSM7461819,GSM7461820,GSM7461821,GSM7461822,GSM7461823,GSM7461824,GSM7461825,GSM7461826,GSM7461827,GSM7461828,GSM7461829,GSM7461830,GSM7461831,GSM7461832,GSM7461833,GSM7461834,als_mean,control_mean,score,Symbol,importance
28774,2.272,0.0,10.77,1.89,3.034,5.895,0.0,2.295,0.7562,5.387,1.92,1.236,5.566,35.57,1409.0,3.876,0.0,4.949,29.33,10.37,2.364,2.203,3.734,1.365,2.607,1.572,2.866,4.03,0.729,7.929,0.6212,9.044,0.0,1.292,0.1739,0.2891,1.36,4.944,4.659,1.426,4.683,4.095,0.0,40.47,3.916,2.557,2.569,10.57,0.8471,4.933,3.529,2.076,0.2418,0.9725,4.971,18.14,0.0,0.4481,1.132,35.1,1.498,0.1571,1.545,3.745,1.154,3.638,4.805,0.4123,2.081,0.0,3.116,2.751,9.2,2.954,0.9196,9.178,4.092,0.3644,2.957,2.031,2.358,3.083,0.0,11.94,1.192,0.7111,5.437,2.28,5.843,4.571,2.699,7.415,8.622,0.8742,2.101,5.062,0.5827,3.874,0.2344,0.7775,1.096,12.27,2.496,0.0,3.416,1.194,4.834,2.618,0.0,4.908,0.0,1.152,1.394,2.406,5.366,3.857,12.13,2.3,0.1511,4.423,0.4293,0.0,1.602,1.952,4.419,5.55,6.095,0.0,15.15,6.81,0.1468,2.858,20.98206279069767,3.5086086956521743,2.2855725664285282,IGLV8-61,2.2855725664285282
3429,0.7149,0.8005,1.553,13.63,2.062,1.02,4.711,2.411,0.3271,10.36,0.3909,1.48,1.003,1.423,63.08,0.2187,3.361,1.142,2.115,3.7,1.406,4.492,2.21,1.359,1.692,57.58,2.657,1.676,11.35,1.506,0.0,1.647,1.956,19.14,1.354,2.251,1.838,0.3565,8.733,5.142,2.476,1.107,0.3454,1.932,1.92,1.659,16.8,0.9631,1.466,0.4268,3.523,0.998,0.4184,1.157,2.346,4.413,0.8381,1.163,6.853,2.088,3.673,4.348,4.678,67.35,0.9985,1.495,1.59,0.5351,0.3,5.167,0.6741,21.42,2.819,5.459,4.774,2.256,105.8,2.364,0.7405,0.2929,315.3,2.371,9.165,1.188,159.8,9.613,6.851,1.398,2.298,2.675,14.22,2.108,2.21,1.008,4.393,2.527,1.765,0.2031,2.13,1.177,1.303,0.6211,1.898,1.603,1.364,6.372,1.353,5.836,8.616,2.123,4.571,1.246,8.714,4.243,1.907,1.919,0.6842,1.628,6.992,3.827,1.857,0.8338,12.05,1.93,0.3325,1.2,1.032,0.1807,1.257,1.631,30.8,1.319,11.987354651162793,3.613182608695652,1.4932732967673688,IFI27,1.4932732967673688
28750,0.0,0.0,35.75,0.0,38.25,0.0,0.0,2.893,0.0,3.521,0.6646,7.829,0.0,24.19,0.0,0.0,0.0,0.0,4.424,3.049,50.42,5.554,0.0,0.0,0.0,0.0,0.8029,0.0,0.0,1.138,3.655,0.0,0.0,0.0,0.0,0.0,25.0,2.424,0.0,2.797,0.0,0.0,4.698,9.851,1.536,0.0,0.0,1.637,1.661,0.0,0.7986,0.0,1.423,0.0,0.0,0.0,0.0,2.636,0.0,0.0,0.0,0.0,5.049,3.147,0.0,1.07,6.652,2.426,1.36,0.0,9.168,0.0,0.0,6.319,0.0,33.13,0.0,15.01,0.0,0.0,1.982,0.0,0.0,1.864,1.402,0.0,4.172,2.236,0.0,3.955,2.887,0.0,3.757,1.714,20.6,192.4,0.0,39.36,13.79,4.574,30.61,0.0,2.67,3.633,3.092,0.0,15.06,2.369,0.0,51.33,0.0,2.259,0.7453,0.0,28.19,1.135,32.57,0.0,0.0,5.782,2.526,1.89,0.0,0.0,0.0,0.0,3.118,0.0,0.0,4.293,6.046,1.121,3.7811755813953485,10.606180434782608,-1.279455970399099,TRAJ5,1.279455970399099
28721,0.0,0.0,0.0,0.0,3.957,0.0,0.0,1.995,1.151,3.643,0.0,4.05,2.823,0.0,2.342,0.0,1.891,2.008,2.288,26.81,0.0,0.0,4.784,0.0,23.8,0.0,0.0,1.887,0.0,3.531,24.58,0.0,0.0,0.0,10.58,0.0,0.0,1.254,0.0,0.0,0.0,3.116,0.0,3.397,0.0,7.781,0.0,11.86,0.0,0.0,3.305,1.404,0.0,0.0,0.0,0.0,0.0,4.545,1.148,0.0,0.0,0.0,0.0,0.0,1.405,0.0,1.72,0.0,5.628,0.0,1.897,0.0,0.0,0.0,1.119,1.27,2.668,0.0,0.0,0.0,0.0,2.085,0.0,0.0,0.0,4.328,1.439,30.07,0.0,0.0,1.493,0.0,1.943,3.547,2.131,0.0,2.364,2.143,0.0,2.366,0.0,6.355,0.9208,0.0,0.0,7.268,1.731,2.451,0.0,0.0,0.0,0.0,0.771,25.9,0.0,3.522,0.0,0.0,0.0,2.991,62.71,1.955,1.084,0.0,10.52,35.47,56.45,0.8474,1.263,0.7401,3.574,17.39,2.1168604651162792,6.334984782608695,-1.2347004026678448,TRAJ34,1.2347004026678448
3046,13.7,36.96,16.28,0.119,0.0,252.1,40.88,44.59,40.7,93.26,39.3,24.45,0.0,0.1165,0.0,89.27,150.7,0.1869,26.2,0.0,84.4,1.961,19.48,6.654,86.98,58.98,18.1,48.39,241.2,0.9862,27.81,0.0,181.3,0.366,0.09852,28.83,14.16,8.988,110.6,0.2694,444.3,248.0,0.0,12.49,84.31,0.0,0.08564,0.0,8.16,15.93,15.31,5.49,145.8,21.49,48.65,11.77,0.4391,6.855,18.49,41.52,0.0,0.0,18.87,10.0,0.1308,14.53,0.1602,0.0,9.824,25.89,260.3,0.5844,21.61,468.0,8.65,0.1182,11.59,217.8,24.47,0.0,12.6,0.0,472.1,6.225,7.631,0.0,0.1339,47.7,30.4,42.66,30.31,10.56,0.0,0.1651,10.91,0.0,6.274,5.188,60.96,48.46,38.95,0.07396,14.32,32.19,25.61,0.0,0.1611,11.52,34.36,0.4634,119.4,14.14,13.57,18.98,46.91,0.1093,31.67,14.22,0.1712,15.87,17.03,22.93,37.73,31.92,37.56,0.1572,16.82,9.941,64.34,14.68,30.86,31.09,52.65742860465116,22.64061217391304,1.1825105241733196,HBE1,1.1825105241733196
28702,0.0,0.0,0.0,0.0,0.0,2.102,0.0,0.0,0.0,0.0,0.6042,0.0,0.0,2.199,0.0,0.0,0.0,0.0,0.0,1.386,1.581,0.0,0.0,2.921,0.0,0.0,0.0,0.0,0.0,1.034,0.0,0.0,0.0,0.0,0.0,1.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.935,1.293,0.0,0.0,0.0,20.72,0.0,0.0,2.347,2.671,0.0,0.0,2.861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.81,0.0,0.0,0.0,0.0,18.08,0.0,0.9508,0.0,0.0,0.0,21.57,1.312,0.0,0.0,1.558,0.0,0.0,31.17,0.0,0.0,1.04,1.465,4.189,65.95,0.0,29.51,0.0,0.0,0.0,0.0,0.0,0.0,2.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.296,0.0,0.0,0.0,1.028,0.0,0.0,0.0,0.0,0.0,0.0,14.27,1.1798953488372093,3.8567608695652176,-1.1557355781085499,TRAJ53,1.1557355781085499
28703,1.057,0.0,19.78,0.0,0.0,2.011,0.0,0.0,0.9671,0.0,0.0,27.72,0.0,0.0,3.936,0.0,0.0,0.0,0.0,1.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.49,0.0,0.0,13.5,8.262,0.0,0.0,0.8695,0.0,0.0,0.0,0.0,5.238,0.0,44.26,0.0,0.0,0.0,0.0,2.889,42.9,0.6944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.18,0.0,16.87,0.0,2.737,0.0,15.82,17.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.469,0.0,0.0,0.0,0.7961,0.0,0.0,0.0,2.007,1.081,19.51,0.0,0.0,1.944,0.0,0.0,0.0,0.0,45.74,0.0,0.0,0.0,0.9938,1.802,3.598,0.9944,0.0,0.0,1.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7511,0.0,3.9153500000000014,1.2387891304347827,1.1345754996369801,TRAJ52,1.1345754996369801
28697,0.0,7.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.063,0.5326,0.0,0.0,0.0,6.609,0.0,0.0,2.107,0.0,0.0,0.0,4.404,0.0,0.0,0.0,0.0,0.0,0.0,6.501,0.0,8.002,0.0,3.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.171,2.511,0.0,0.0,0.0,0.0,0.0,0.0,2.586,0.0,4.751,0.0,0.0,0.0,0.0,3.853,0.0,6.018,0.0,5.844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,0.0,1.187,0.0,0.0,0.0,45.82,0.0,0.6577,3.94,0.0,0.0,14.63,27.55,0.0,4.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.549,0.0,3.222,0.0,0.0,0.0,0.0,8.26,0.0,0.0,0.0,0.0,12.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8596697674418603,2.7915804347826088,-1.0277528724617269,TRAJ58,1.0277528724617269
28506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.42,9.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.287,0.0,6.861,0.0,4.607,1.335,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.388,0.0,6.532,3.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.677,0.0,0.0,2.146,0.0,0.0,0.2978139534883721,1.6284999999999996,-1.018156152510685,IGHD1-26,1.018156152510685
3044,0.3315,0.4949,0.1477,0.7863,0.2318,0.2102,0.6067,0.3507,0.1011,64.02,0.9667,0.2542,0.2481,0.11,1.235,0.0,0.1662,1.235,0.2011,0.1386,0.4742,3.703,0.3153,0.1461,0.1743,0.4671,1.387,0.2487,0.7798,1.655,0.8307,0.8911,0.6047,1.209,0.186,0.3092,188.9,0.1102,1.384,0.5086,1.392,0.8214,0.5339,0.1493,0.6981,0.8548,0.2425,0.5953,0.3021,0.2638,1.234,0.2468,0.2587,7.022,1.209,1.415,1.036,0.2397,0.1009,0.9386,0.8014,1.68,0.5508,0.2861,1.111,0.3892,0.1512,0.6616,0.0,1.278,0.3334,0.5517,0.5125,0.5745,0.3935,0.2231,0.7817,1.169,0.4578,0.5433,3.423,0.5496,1.679,1.525,0.6374,0.8557,1.011,0.2033,1.42,1.294,5.118,0.2266,0.1708,0.0,0.1873,0.2083,0.6234,0.4395,0.8776,0.2079,1.318,0.1396,0.1214,0.4403,0.2811,2.768,1.065,0.2154,348.7,0.1458,1.443,0.7187,0.7453,0.7918,0.41,0.6189,0.987,0.0,0.6464,0.5257,0.6888,0.1718,0.5714,0.7458,0.0,0.7421,0.4252,0.1489,0.2221,0.5203,0.157,0.1019,3.683641860465116,8.229660869565219,-0.9786468762352707,HBBP1,0.9786468762352707
